updater,seed,iteration,num_traces,total_steps,num_faults,fault_density,faults_memory_size,iteration_seconds,safety_rate,avg_final_reward,eval_steps,eval_faults,eval_fault_rate,update_loss,run_total_seconds
supervised,42,1,100,1538,100,0.06501950585175553,100,9.901655197143555,0.0,-1.0,146,50,0.3424657534246575,1.0843686789274216,412.7569670677185
supervised,42,2,100,284,100,0.352112676056338,200,4.926145315170288,0.04,-0.96,826,48,0.05811138014527845,1.4742726802825927,412.7569670677185
supervised,42,3,100,2563,89,0.034724931720639875,289,10.722530841827393,0.26,-0.74,1954,37,0.018935516888433982,0.7481935352087021,412.7569670677185
supervised,42,4,100,4106,72,0.01753531417437896,361,16.903833866119385,0.36,-0.6202,2559,32,0.012504884720593983,0.4876248151063919,412.7569670677185
supervised,42,5,100,4145,76,0.01833534378769602,437,16.373310327529907,0.44,-0.56,2895,28,0.009671848013816925,0.320231506228447,412.7569670677185
supervised,42,6,100,4350,69,0.015862068965517243,506,16.100462436676025,0.34,-0.66,2149,33,0.015355979525360632,0.2543278470635414,412.7569670677185
supervised,42,7,100,5902,55,0.009318874957641478,561,19.081785678863525,0.32,-0.68,2329,34,0.014598540145985401,0.20396435409784316,412.7569670677185
supervised,42,8,100,5232,58,0.011085626911314985,619,20.087235689163208,0.54,-0.4402,3358,23,0.00684931506849315,0.1611422672867775,412.7569670677185
supervised,42,9,100,5317,61,0.011472634944517585,680,20.542648315429688,0.44,-0.56,2905,28,0.00963855421686747,0.14830055460333824,412.7569670677185
supervised,42,10,100,6315,50,0.00791765637371338,730,21.08261489868164,0.5,-0.5,3303,25,0.007568876778686043,0.11484109163284302,412.7569670677185
supervised,42,11,100,6241,50,0.00801153661272232,780,22.66135549545288,0.56,-0.44,3496,22,0.006292906178489702,0.09374259896576405,412.7569670677185
supervised,42,12,100,6995,41,0.00586132952108649,821,24.16245698928833,0.66,-0.34,4024,17,0.004224652087475149,0.10167503654956818,412.7569670677185
supervised,42,13,100,7912,29,0.0036653185035389283,850,25.613994359970093,0.7,-0.3,3957,15,0.0037907505686125853,0.06981375366449356,412.7569670677185
supervised,42,14,100,7624,32,0.004197271773347324,882,28.033611059188843,0.78,-0.22,4412,11,0.0024932003626473255,0.053128503262996674,412.7569670677185
supervised,42,15,100,9150,16,0.0017486338797814208,898,25.69147825241089,0.88,-0.12,4468,6,0.0013428827215756492,0.035694669000804424,412.7569670677185
supervised,42,16,100,8417,22,0.002613757870975407,920,22.75796151161194,0.92,-0.08,4676,4,0.000855431993156544,0.022508643660694362,412.7569670677185
supervised,42,17,100,9430,7,0.0007423117709437964,927,25.87247323989868,0.98,-0.02,4911,1,0.00020362451639177357,0.017502255644649266,412.7569670677185
supervised,42,18,100,9755,4,0.00041004613018964635,931,27.085724592208862,1.0,0.0,5000,0,0.0,0.010808667447417975,412.7569670677185
supervised,42,19,100,9724,3,0.00030851501439736734,934,27.83839440345764,1.0,0.0,5000,0,0.0,0.008963838685303926,412.7569670677185
supervised,42,20,100,9897,2,0.0002020814388198444,936,26.974905014038086,1.0,0.0,5000,0,0.0,0.006273890333250165,412.7569670677185
milp,42,1,100,1538,100,0.06501950585175553,100,13.738501787185669,0.02,-0.98,875,49,0.056,,2262.0068368911743
milp,42,2,100,1325,99,0.07471698113207548,199,10.164753913879395,0.42,-0.58,2374,29,0.012215669755686605,,2262.0068368911743
milp,42,3,100,5871,46,0.007835121785045137,245,15.994471073150635,0.44,-0.56,2416,28,0.011589403973509934,,2262.0068368911743
milp,42,4,100,5238,54,0.010309278350515464,299,20.498176336288452,0.4,-0.6,2349,30,0.01277139208173691,,2262.0068368911743
milp,42,5,100,5157,56,0.010859026565832848,355,25.041057109832764,0.72,-0.28,3745,14,0.003738317757009346,,2262.0068368911743
milp,42,6,100,5180,54,0.010424710424710425,409,30.911084175109863,0.36,-0.64,2236,32,0.014311270125223614,,2262.0068368911743
milp,42,7,100,6143,47,0.0076509848608171905,456,38.04690361022949,0.36,-0.64,2217,32,0.014433919711321606,,2262.0068368911743
milp,42,8,100,5377,54,0.01004277478147666,510,40.81955933570862,0.58,-0.42,3151,21,0.006664550936210727,,2262.0068368911743
milp,42,9,100,4524,59,0.013041556145004421,569,48.651203632354736,0.38,-0.62,2142,31,0.014472455648926238,,2262.0068368911743
milp,42,10,100,5500,51,0.009272727272727273,620,64.58484840393066,0.48,-0.52,2776,26,0.009365994236311239,,2262.0068368911743
milp,42,11,100,5416,51,0.009416543574593796,671,76.61409306526184,0.42,-0.58,2274,29,0.012752858399296393,,2262.0068368911743
milp,42,12,100,5450,52,0.009541284403669725,723,91.27687048912048,0.54,-0.46,3076,23,0.007477243172951885,,2262.0068368911743
milp,42,13,100,5606,50,0.008919015340706386,773,123.42771363258362,0.46,-0.54,2798,27,0.00964974982130093,,2262.0068368911743
milp,42,14,100,5810,48,0.008261617900172116,821,115.7763135433197,0.5,-0.5,2906,25,0.008602890571231933,,2262.0068368911743
milp,42,15,100,5163,57,0.011040092969203951,878,162.94931530952454,0.48,-0.52,2790,26,0.00931899641577061,,2262.0068368911743
milp,42,16,100,5049,56,0.011091305208952268,934,200.1982045173645,0.54,-0.46,2954,23,0.007786052809749492,,2262.0068368911743
milp,42,17,100,5477,50,0.009129085265656381,984,208.50550889968872,0.5,-0.5,2813,25,0.008887308922858158,,2262.0068368911743
milp,42,18,100,4962,56,0.01128577186618299,1040,338.4064099788666,0.52,-0.48,2922,24,0.008213552361396304,,2262.0068368911743
milp,42,19,100,5158,57,0.011050794881737108,1097,268.0929260253906,0.4,-0.6,2371,30,0.012652889076339097,,2262.0068368911743
milp,42,20,100,5835,48,0.008226221079691516,1145,367.9467873573303,0.46,-0.54,2566,27,0.010522213561964146,,2262.0068368911743
