Episodes,RepairTime,NumFaultsTotal,NumFaultsThisRound
20,0.05,43,43
140,0.04,44,1
260,0.04,44,0
380,0.04,44,0
500,0.04,44,0
620,0.16,144,100
740,0.19,169,25
860,0.26,235,66
980,0.33,296,61
1100,0.4,377,81
1220,0.5,448,71
1340,0.52,513,65
1460,0.63,603,90
1580,0.77,693,90
1700,0.85,785,92
1820,0.98,881,96
1940,1.07,980,99
2060,1.12,1077,97
2180,1.28,1175,98
2300,1.38,1269,94
2420,1.52,1366,97
2540,1.58,1461,95
2660,3.28,1561,100
2780,1.83,1660,99
2900,1.9,1760,100
3020,2.09,1857,97
3140,2.7,1955,98
3260,2.17,2053,98
3380,2.32,2153,100
3500,2.43,2252,99
3620,2.52,2351,99
3740,2.67,2449,98
3860,3.3,2546,97
3980,3.43,2643,97
4100,3.84,2742,99
4220,2.96,2837,95
4340,3.17,2935,98
4460,3.35,3031,96
4580,4.25,3129,98
4700,3.43,3229,100
4820,3.69,3324,95
4940,4.32,3418,94
5060,3.87,3516,98
5180,3.85,3612,96
5300,4.08,3707,95
5420,4.12,3805,98
5540,4.24,3897,92
5660,4.93,3995,98
5780,5.77,4090,95
5900,4.97,4186,96
6020,5.88,4276,90
6140,5.62,4370,94
